label,iter,n,elapsed,valid
Pruned',3,16,70544,true
Pruned',4,16,68462,true
Pruned',5,16,69263,true
Pruned',6,16,68535,true
Pruned',7,16,68806,true
Pruned',8,16,69069,true
Pruned',9,16,68823,true
Pruned',10,16,68614,true
Pruned',11,16,68428,true
Effectful',1,16,39883,true
Effectful',2,16,40308,true
Effectful',3,16,40536,true
Effectful',4,16,40045,true
Effectful',5,16,40245,true
Effectful',6,16,40350,true
Effectful',7,16,40424,true
Effectful',8,16,40304,true
Effectful',9,16,40267,true
Effectful',10,16,40305,true
Effectful',11,16,40733,true
Berger',1,20,12739446,true
Berger',2,20,12768473,true
Berger',3,20,12809896,true
Berger',4,20,12805477,true
Berger',5,20,12714690,true
Berger',6,20,12761894,true
Berger',7,20,12747739,true
Berger',8,20,12791908,true
Berger',9,20,12711812,true
Berger',10,20,12733907,true
Berger',11,20,12724075,true
Pruned',1,20,2480144,true
Pruned',2,20,2406806,true
Pruned',3,20,2453547,true
Pruned',4,20,2410834,true
Pruned',5,20,2419767,true
Pruned',6,20,2413799,true
Pruned',7,20,2414145,true
Pruned',8,20,2416502,true
Pruned',9,20,2427140,true
Pruned',10,20,2414981,true
Pruned',11,20,2398494,true
Effectful',1,20,1132359,true
Effectful',2,20,1152079,true
Effectful',3,20,1127979,true
Effectful',4,20,1169657,true
Effectful',5,20,1130186,true
Effectful',6,20,1122820,true
Effectful',7,20,1165460,true
Effectful',8,20,1192044,true
Effectful',9,20,1133869,true
Effectful',10,20,1135994,true
Effectful',11,20,1120031,true
Berger',1,24,49214215,true
Berger',2,24,49440053,true
Berger',3,24,49194734,true
Berger',4,24,49133873,true
Berger',5,24,49135849,true
Berger',6,24,49133574,true
Berger',7,24,49273911,true
Berger',8,24,49386829,true
Berger',9,24,49163728,true
Berger',10,24,49056836,true
Berger',11,24,48953175,true
Pruned',1,24,7970101,true
Pruned',2,24,7956663,true
Pruned',3,24,7965557,true
Pruned',4,24,8009907,true
Pruned',5,24,7972148,true
Pruned',6,24,7941872,true
Pruned',7,24,8136821,true
Pruned',8,24,7959929,true
Pruned',9,24,7945648,true
Pruned',10,24,8076042,true
Pruned',11,24,7995400,true
Effectful',1,24,3112379,true
Effectful',2,24,3108390,true
Effectful',3,24,3136620,true
Effectful',4,24,3127599,true
Effectful',5,24,3131090,true
Effectful',6,24,3300900,true
Effectful',7,24,3173997,true
Effectful',8,24,3160905,true
Effectful',9,24,3088021,true
