label,iter,n,elapsed,valid
Effectful,5,12,29916053,true
Effectful,6,12,29870181,true
Effectful,7,12,29847367,true
Effectful,8,12,29871945,true
Effectful,9,12,29941372,true
Effectful,10,12,30188947,true
Effectful,11,12,29954880,true
Bespoke,1,12,176023,true
Bespoke,2,12,176070,true
Bespoke,3,12,176236,true
Bespoke,4,12,175953,true
Bespoke,5,12,180833,true
Bespoke,6,12,175996,true
Bespoke,7,12,175928,true
Bespoke,8,12,175900,true
Bespoke,9,12,176320,true
Bespoke,10,12,176221,true
Bespoke,11,12,176724,true
Naive',1,8,409766,true
Naive',2,8,409112,true
Naive',3,8,409017,true
Naive',4,8,408478,true
Naive',5,8,409312,true
Naive',6,8,407990,true
Naive',7,8,407775,true
Naive',8,8,408465,true
Naive',9,8,409174,true
Naive',10,8,409309,true
Naive',11,8,409866,true
Berger',1,8,4454,true
Berger',2,8,4439,true
Berger',3,8,4449,true
Berger',4,8,4442,true
Berger',5,8,4456,true
Berger',6,8,4438,true
Berger',7,8,4450,true
Berger',8,8,4451,true
Berger',9,8,4439,true
Berger',10,8,4449,true
Berger',11,8,4441,true
Pruned',1,8,2277,true
Pruned',2,8,2292,true
Pruned',3,8,2275,true
Pruned',4,8,2285,true
Pruned',5,8,2288,true
Pruned',6,8,2283,true
Pruned',7,8,2291,true
Pruned',8,8,2277,true
Pruned',9,8,2283,true
Pruned',10,8,2286,true
Pruned',11,8,2279,true
Effectful',1,8,24105,true
Effectful',2,8,23625,true
Effectful',3,8,23643,true
Effectful',4,8,23634,true
Effectful',5,8,23626,true
Effectful',6,8,23629,true
Effectful',7,8,23633,true
Effectful',8,8,23635,true
Effectful',9,8,23625,true
